dataset_id,resource_id,resource_type,remote_url,local_path,expected_size_mb,required_for_stage,description
GSE40279,sample_key,sample_key,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE40nnn/GSE40279/suppl/GSE40279_sample_key.txt.gz,data/raw/GSE40279/GSE40279_sample_key.txt.gz,0.005,yes,GSM 접근번호와 beta matrix 열 이름을 연결하는 표본 키
GSE40279,average_beta,beta_matrix,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE40nnn/GSE40279/suppl/GSE40279_average_beta.txt.gz,data/raw/GSE40279/GSE40279_average_beta.txt.gz,1100,yes,656개 표본의 평균 beta value 행렬
GSE87571,matrix1of2,beta_matrix,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE87nnn/GSE87571/suppl/GSE87571_matrix1of2.txt.gz,data/raw/GSE87571/GSE87571_matrix1of2.txt.gz,1400,external_validation,외부 검증 GSE87571 표본 절반의 SWAN 정규화 beta 및 detection p-value
GSE87571,matrix2of2,beta_matrix,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE87nnn/GSE87571/suppl/GSE87571_matrix2of2.txt.gz,data/raw/GSE87571/GSE87571_matrix2of2.txt.gz,1400,external_validation,외부 검증 GSE87571 나머지 표본의 SWAN 정규화 beta 및 detection p-value
S-BSST1206,beta_part_1,beta_matrix,https://www.ebi.ac.uk/biostudies/files/S-BSST1206/SATSA_DNA_meth_1.txt,data/raw/S-BSST1206/SATSA_DNA_meth_1.txt,1358.9274,external_validation,SATSA 결합 450K·EPIC beta 행렬 1/5 (공식 바이트 1358927400)
S-BSST1206,beta_part_2,beta_matrix,https://www.ebi.ac.uk/biostudies/files/S-BSST1206/SATSA_DNA_meth_2.txt,data/raw/S-BSST1206/SATSA_DNA_meth_2.txt,1349.474069,external_validation,SATSA 결합 450K·EPIC beta 행렬 2/5 (공식 바이트 1349474069)
S-BSST1206,beta_part_3,beta_matrix,https://www.ebi.ac.uk/biostudies/files/S-BSST1206/SATSA_DNA_meth_3.txt,data/raw/S-BSST1206/SATSA_DNA_meth_3.txt,1339.334577,external_validation,SATSA 결합 450K·EPIC beta 행렬 3/5 (공식 바이트 1339334577)
S-BSST1206,beta_part_4,beta_matrix,https://www.ebi.ac.uk/biostudies/files/S-BSST1206/SATSA_DNA_meth_4.txt,data/raw/S-BSST1206/SATSA_DNA_meth_4.txt,1337.119051,external_validation,SATSA 결합 450K·EPIC beta 행렬 4/5 (공식 바이트 1337119051)
S-BSST1206,beta_part_5,beta_matrix,https://www.ebi.ac.uk/biostudies/files/S-BSST1206/SATSA_DNA_meth_5.txt,data/raw/S-BSST1206/SATSA_DNA_meth_5.txt,1358.977818,external_validation,SATSA 결합 450K·EPIC beta 행렬 5/5 (공식 바이트 1358977818)
